Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,257.769989,257.910004,253.919998,255.669998,238.379120,2258300
2018-01-03,255.479996,256.140015,253.220001,253.289993,236.160065,2988200
2018-01-04,255.229996,259.720001,254.320007,256.829987,239.460632,2583200
2018-01-05,257.179993,257.489990,253.690002,255.520004,238.239243,2594700
2018-01-08,254.750000,255.179993,251.619995,251.809998,234.780151,2940500
2018-01-09,252.800003,255.600006,252.619995,253.940002,236.766113,2637300
2018-01-10,255.000000,255.149994,252.350006,254.330002,237.129715,2927200
2018-01-11,255.750000,255.889999,252.970001,255.130005,237.875580,2422400
2018-01-12,255.750000,257.299988,254.089996,257.029999,239.647141,2849200
2018-01-16,259.250000,261.769989,256.399994,258.459991,240.980377,4445500
2018-01-17,260.980011,262.000000,248.839996,253.649994,236.495712,8608100
2018-01-18,254.490005,254.539993,250.600006,250.970001,233.996964,4984500
2018-01-19,251.000000,256.140015,250.259995,256.119995,238.798645,4643400
2018-01-22,255.449997,262.869995,255.190002,261.519989,243.833496,5264700
2018-01-23,258.000000,260.260010,256.850006,260.089996,242.500168,4003600
2018-01-24,260.739990,265.779999,260.299988,265.679993,247.712143,4314000
2018-01-25,266.350006,270.500000,265.010010,269.029999,250.835556,5055000
2018-01-26,267.489990,269.000000,266.049988,268.140015,250.005814,3535400
2018-01-29,269.040009,273.790009,268.809998,272.480011,254.052307,3881100
2018-01-30,270.390015,272.000000,267.109985,268.940002,250.751648,3970400
2018-01-31,268.549988,270.000000,266.329987,267.890015,249.772659,3710200
2018-02-01,266.149994,272.589996,266.000000,272.230011,253.819168,3388200
2018-02-02,270.000000,271.750000,259.350006,260.040009,242.453583,5913900
2018-02-05,257.510010,263.299988,241.500000,249.110001,232.262772,6528500
2018-02-06,244.210007,258.750000,242.110001,258.700012,241.204193,6739900
2018-02-07,255.899994,261.950012,255.660004,257.100006,239.712387,4125000
2018-02-08,257.929993,258.779999,246.050003,246.350006,229.689407,4166200
2018-02-09,249.619995,251.669998,239.289993,249.300003,232.439911,5978600
2018-02-12,251.149994,256.149994,248.820007,253.160004,236.038849,3692500
